citation,doi,pmid,ref_id,ref_number,source_location,source_review,table_lead,table_outcome,table_row,title,year
"34 AnsariS Adib SaberF ElmiehA GhadimiS . The effect of water-based intervention on sleep habits and two sleep-related cytokines in children with autism. Sleep Med. (2021) 82:78–83. doi: 10.1016/j.sleep.2021.03.045, PMID: 33906043",10.1016/j.sleep.2021.03.045,33906043,B34,34,reference 34,PMC12963353,,,,The effect of water-based intervention on sleep habits and two sleep-related cytokines in children with autism,2021
"35 DhingraA GuptaA Aditi . Effect of aerobic training on anxiety, activities of daily living and visual motor skills performance in children with autism: A randomised controlled trial. J Clin Diagn Res. (2025) 19:SC06–11. doi: 10.7860/jcdr/2025/73346.20624",10.7860/jcdr/2025/73346.20624,,B35,35,reference 35,PMC12963353,,,,"Effect of aerobic training on anxiety, activities of daily living and visual motor skills performance in children with autism: A randomised controlled trial",2025
36 GrecoG de RonziR . The effect of a specific exercise program on the improvement of motor coordination in children with autism spectrum disorder. J Phys Educ Sport. (2020) 20:1637–45. doi: 10.7752/jpes.2020.04223,10.7752/jpes.2020.04223,,B36,36,reference 36,PMC12963353,,,,The effect of a specific exercise program on the improvement of motor coordination in children with autism spectrum disorder,2020
37 GulandanmuM WangZ . A study on dance/movement therapy to improve core symptoms in children with autism spectrum disorder. Arts Psychother. (2025) 92:102300. doi: 10.1016/j.aip.2025.102300,10.1016/j.aip.2025.102300,,B37,37,reference 37,PMC12963353,,,,A study on dance/movement therapy to improve core symptoms in children with autism spectrum disorder,2025
"38 HiroseN TashiroY TakasakiT . Effects of a 12-week exercise intervention on primitive reflex retention and social development in children with ASD and ADHD. Children. (2025) 12:987. doi: 10.3390/children12080987, PMID: 40868439 PMC12384944",10.3390/children12080987,40868439,B38,38,reference 38,PMC12963353,,,,Effects of a 12-week exercise intervention on primitive reflex retention and social development in children with ASD and ADHD,2025
"39 HowellsK SivaratnamC LindorE HydeC McGillivrayG WhitehouseA . Can participation in a community organized football program improve social, behavioural functioning and communication in children with autism spectrum disorder? A pilot study. J Autism Dev Disord. (2020) 50:3714–27. doi: 10.1007/s10803-020-04423-5, PMID: 32107700",10.1007/s10803-020-04423-5,32107700,B39,39,reference 39,PMC12963353,,,,"Can participation in a community organized football program improve social, behavioural functioning and communication in children with autism spectrum disorder? A pilot study",2020
"40 LiangXA LiR WongSHS SumRKW SitCHP . The effects of exercise interventions on executive functions in children and adolescents with autism spectrum disorder: A systematic review and meta-analysis. Sports Med. (2022) 52:75–88. doi: 10.1007/s40279-021-01545-3, PMID: 34468951",10.1007/s40279-021-01545-3,34468951,B40,40,reference 40,PMC12963353,,,,The effects of exercise interventions on executive functions in children and adolescents with autism spectrum disorder: A systematic review and meta-analysis,2022
"41 PetersBC WoodW HepburnS BundyA . Preliminary efficacy of occupational therapy in an equine environment for youth with autism spectrum disorder. J Autism Dev Disord. (2022) 52:4114–28. doi: 10.1177/1539449220912723, PMID: 34557985",10.1177/1539449220912723,34557985,B41,41,reference 41,PMC12963353,,,,Preliminary efficacy of occupational therapy in an equine environment for youth with autism spectrum disorder,2022
"42 TanksaleR SofronoffK SheffieldJ GilmourJ . Evaluating the effects of a yoga-based program integrated with third-wave cognitive behavioral therapy components on self-regulation in children on the autism spectrum: A pilot randomized controlled trial. Autism. (2021) 25:995–1008. doi: 10.1177/1362361320974841, PMID: 33238718",10.1177/1362361320974841,33238718,B42,42,reference 42,PMC12963353,,,,Evaluating the effects of a yoga-based program integrated with third-wave cognitive behavioral therapy components on self-regulation in children on the autism spectrum: A pilot randomized controlled trial,2021
"43 TseCYA LeeHP ChanKSK EdgarVB Wilkinson-SmithAM LaiWHE . Examining the impact of physical activity on sleep quality and executive functions in children with autism spectrum disorder: A randomized controlled trial. Autism. (2019) 23:1699–710. doi: 10.1177/1362361318823910, PMID: 30663324",10.1177/1362361318823910,30663324,B43,43,reference 43,PMC12963353,,,,Examining the impact of physical activity on sleep quality and executive functions in children with autism spectrum disorder: A randomized controlled trial,2019
"44 TseACY LeePH ZhangJ HoAWY LaiWHE . Effects of exercise on sleep, melatonin level, and behavioral functioning in children with autism. Autism. (2022) 26:1712–22. doi: 10.1177/13623613211062952, PMID: 35083939",10.1177/13623613211062952,35083939,B44,44,reference 44,PMC12963353,,,,"Effects of exercise on sleep, melatonin level, and behavioral functioning in children with autism",2022
45 ZhaoF LuF TanCH YuQ WangS ChenR . The effect of hierarchical comprehensive motor training on children with autism spectrum disorder: A comparison between those with and without comorbid ADHD. Chin J Clin Psychol. (2021) 29:869–75. doi: 10.16128/j.cnki.1005-3611.2021.04.042,10.16128/j.cnki.1005-3611.2021.04.042,,B45,45,reference 45,PMC12963353,,,,The effect of hierarchical comprehensive motor training on children with autism spectrum disorder: A comparison between those with and without comorbid ADHD,2021
"Carey, M., Sheehan, D., Healy, S., Knott, F., & Kinsella, S. (2022). The effects of a 16-week school-based exercise program on anxiety in children with autism spectrum disorder. International Journal of Environmental Research and Public Health,19(9), 5471. 10.3390/ijerph19095471",10.3390/ijerph19095471,,CR7,7,Evidence table for the physical activity intervention studies and their effects on anxiety for autistic children and adults,PMC12296984,Carey et al. (2022),"According to the ACS-ASD reported by teachers, there was a significant decrease in performance anxiety, anxious arousal, uncertainty, and total ACS-ASD scores when comparing baseline to the final session (week 16) (p < 0.001). According to the ACS-ASD reported by parents, there was no significant decrease in total ACS-ASD scores when comparing baseline to the final session (week 16)","Carey et al. (2022) | Level IIIn = 24Inclusion criteria: ages 5–18, diagnosis of ASD by psychologist, moderate to severe ASD—measured by the Gilliam Autism Rating Scale—2nd Edition (GARS). The authors defined moderate ASD as a score of 10–33 on the GARs, and severe ASD as a score of more than 34 on the GARSExclusion criteria: no diagnosis of ASD, if potential participants had any medical conditions or injuries that prevented them from participating in exercise, and if a guardian or doctor advised they should not participate in exercise | Intervention: all participants participated in a 16-week exercise program intervention. The sessions occurred 3 days a week for 1 h, and included a warm-up, main activities, and stretching at the end. The main activities focused on developing and progressing fundamental motor skills like catching, throwing, kicking, balancing, dodging, striking, and jumping. The main activities also included some group games, involving all of the children | The ASC-ASD was completed by teachers, parents, or both to measure participants’ anxiety levels in home and school settings | According to the ACS-ASD reported by teachers, there was a significant decrease in performance anxiety, anxious arousal, uncertainty, and total ACS-ASD scores when comparing baseline to the final session (week 16) (p < 0.001). According to the ACS-ASD reported by parents, there was no significant decrease in total ACS-ASD scores when comparing baseline to the final session (week 16)",,2022
